program_id,application_system,admission_track,admission_group,choice_code,school_id,school_source_id,school_name_zh,department_name_zh,department_name_clean_zh,department_name_en,department_name_en_source,is_key_industry_program,is_international_foundation_program,source_pdf_page,source_section,notes
joint_group2_2001,joint_distribution,joint_distribution,第二類組,2001,school_001_國立臺灣大學,1,國立臺灣大學,數學系,數學系,Department of Mathematics,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2002,joint_distribution,joint_distribution,第二類組,2002,school_001_國立臺灣大學,1,國立臺灣大學,物理學系,物理學系,Department of Physics,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2003,joint_distribution,joint_distribution,第二類組,2003,school_001_國立臺灣大學,1,國立臺灣大學,化學系,化學系,Department of Chemistry,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2004,joint_distribution,joint_distribution,第二類組,2004,school_001_國立臺灣大學,1,國立臺灣大學,地質科學系,地質科學系,Department of Geography Quality Science,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2005,joint_distribution,joint_distribution,第二類組,2005,school_001_國立臺灣大學,1,國立臺灣大學,地理環境資源學系,地理環境資源學系,Department of Geography Environmental Resources,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2006,joint_distribution,joint_distribution,第二類組,2006,school_001_國立臺灣大學,1,國立臺灣大學,大氣科學系,大氣科學系,Department of Atmospheric Sciences Science,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2007,joint_distribution,joint_distribution,第二類組,2007,school_001_國立臺灣大學,1,國立臺灣大學,土木工程學系,土木工程學系,Department of Civil Engineering,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2008,joint_distribution,joint_distribution,第二類組,2008,school_001_國立臺灣大學,1,國立臺灣大學,機械工程學系,機械工程學系,Department of Mechanical Engineering,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2009,joint_distribution,joint_distribution,第二類組,2009,school_001_國立臺灣大學,1,國立臺灣大學,化學工程學系,化學工程學系,Department of Chemical Engineering,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2010,joint_distribution,joint_distribution,第二類組,2010,school_001_國立臺灣大學,1,國立臺灣大學,工程科學及海洋工程學系,工程科學及海洋工程學系,Department of Engineering Science Studies and Marine Engineering,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2011,joint_distribution,joint_distribution,第二類組,2011,school_001_國立臺灣大學,1,國立臺灣大學,材料科學與工程學系,材料科學與工程學系,Department of Materials Science and Engineering,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2012,joint_distribution,joint_distribution,第二類組,2012,school_001_國立臺灣大學,1,國立臺灣大學,電機工程學系,電機工程學系,Department of Electrical Engineering,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2013,joint_distribution,joint_distribution,第二類組,2013,school_001_國立臺灣大學,1,國立臺灣大學,資訊工程學系,資訊工程學系,Department of Computer Science and Information Engineering,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2014,joint_distribution,joint_distribution,第二類組,2014,school_001_國立臺灣大學,1,國立臺灣大學,生物環境系統工程學系,生物環境系統工程學系,Department of Biology Environment Department Systems Engineering,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2015,joint_distribution,joint_distribution,第二類組,2015,school_001_國立臺灣大學,1,國立臺灣大學,生物機電工程學系,生物機電工程學系,Department of Biomechatronics Engineering,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2016,joint_distribution,joint_distribution,第二類組,2016,school_001_國立臺灣大學,1,國立臺灣大學,工商管理學系科技管理組,工商管理學系科技管理組,"Department of Business Administration, Technology Management Group",draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2017,joint_distribution,joint_distribution,第二類組,2017,school_001_國立臺灣大學,1,國立臺灣大學,資訊管理學系,資訊管理學系,Department of Information Management,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2018,joint_distribution,joint_distribution,第二類組,2018,school_001_國立臺灣大學,1,國立臺灣大學,醫學工程學系,醫學工程學系,Department of Medicine Engineering,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2020,joint_distribution,joint_distribution,第二類組,2020,school_006_國立成功大學,6,國立成功大學,物理學系,物理學系,Department of Physics,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2021,joint_distribution,joint_distribution,第二類組,2021,school_006_國立成功大學,6,國立成功大學,化學系,化學系,Department of Chemistry,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2022,joint_distribution,joint_distribution,第二類組,2022,school_006_國立成功大學,6,國立成功大學,地球科學系,地球科學系,Department of Earth Science Science,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2023,joint_distribution,joint_distribution,第二類組,2023,school_006_國立成功大學,6,國立成功大學,統計與資料科學學系,統計與資料科學學系,Department of Statistics and Data Science,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2024,joint_distribution,joint_distribution,第二類組,2024,school_006_國立成功大學,6,國立成功大學,工業與資訊管理學系,工業與資訊管理學系,Department of Industrial and Information Management,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2025,joint_distribution,joint_distribution,第二類組,2025,school_006_國立成功大學,6,國立成功大學,交通管理科學系,交通管理科學系,Department of Exchange Communication Management Science,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2026,joint_distribution,joint_distribution,第二類組,2026,school_006_國立成功大學,6,國立成功大學,機械工程學系,機械工程學系,Department of Mechanical Engineering,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2027,joint_distribution,joint_distribution,第二類組,2027,school_006_國立成功大學,6,國立成功大學,航空太空工程學系,航空太空工程學系,Department of Aeronautics and Astronautics Engineering,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2028,joint_distribution,joint_distribution,第二類組,2028,school_006_國立成功大學,6,國立成功大學,化學工程學系,化學工程學系,Department of Chemical Engineering,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2029,joint_distribution,joint_distribution,第二類組,2029,school_006_國立成功大學,6,國立成功大學,資源工程學系,資源工程學系,Department of Resources Engineering,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2030,joint_distribution,joint_distribution,第二類組,2030,school_006_國立成功大學,6,國立成功大學,材料科學及工程學系,材料科學及工程學系,Department of Materials Science Studies and Engineering,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2031,joint_distribution,joint_distribution,第二類組,2031,school_006_國立成功大學,6,國立成功大學,土木工程學系,土木工程學系,Department of Civil Engineering,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2032,joint_distribution,joint_distribution,第二類組,2032,school_006_國立成功大學,6,國立成功大學,環境工程學系,環境工程學系,Department of Environmental Engineering,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2033,joint_distribution,joint_distribution,第二類組,2033,school_006_國立成功大學,6,國立成功大學,水利及海洋工程學系,水利及海洋工程學系,Department of Hydraulic and Ocean Engineering,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2034,joint_distribution,joint_distribution,第二類組,2034,school_006_國立成功大學,6,國立成功大學,工程科學系,工程科學系,Department of Engineering Science,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2035,joint_distribution,joint_distribution,第二類組,2035,school_006_國立成功大學,6,國立成功大學,系統及船舶機電工程學系,系統及船舶機電工程學系,Department Systems and Marine Mechatronic Engineering,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2036,joint_distribution,joint_distribution,第二類組,2036,school_006_國立成功大學,6,國立成功大學,測量及空間資訊學系,測量及空間資訊學系,Department of Surveying and Spatial Design Information,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2037,joint_distribution,joint_distribution,第二類組,2037,school_006_國立成功大學,6,國立成功大學,電機工程學系,電機工程學系,Department of Electrical Engineering,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2038,joint_distribution,joint_distribution,第二類組,2038,school_006_國立成功大學,6,國立成功大學,資訊工程學系,資訊工程學系,Department of Computer Science and Information Engineering,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
joint_group2_2039,joint_distribution,joint_distribution,第二類組,2039,school_006_國立成功大學,6,國立成功大學,生物醫學工程學系,生物醫學工程學系,Department of Biomedical Engineering,draft_glossary_translation,False,False,51,附錄二之二 聯合分發制招生校系名稱及代碼表：第二類組,
