program_id,application_system,admission_track,admission_group,choice_code,school_id,school_source_id,school_name_zh,department_name_zh,department_name_clean_zh,department_name_en,department_name_en_source,is_key_industry_program,is_international_foundation_program,source_pdf_page,source_section,notes
personal_application_standard_0001,personal_application_standard,personal_application,,,school_002_國立暨南國際大學,2,國立暨南國際大學,中國語文學系,中國語文學系,Department of Chinese Language and Literature,draft_glossary_translation,False,False,16,附錄二之一 個人申請制招生校系名稱,
personal_application_standard_0002,personal_application_standard,personal_application,,,school_002_國立暨南國際大學,2,國立暨南國際大學,外國語文學系,外國語文學系,Department of Foreign Languages and Literatures,draft_glossary_translation,False,False,16,附錄二之一 個人申請制招生校系名稱,
personal_application_standard_0003,personal_application_standard,personal_application,,,school_002_國立暨南國際大學,2,國立暨南國際大學,社會政策與社會工作學系,社會政策與社會工作學系,Department of Social Policy and Social Work,draft_glossary_translation,False,False,16,附錄二之一 個人申請制招生校系名稱,
personal_application_standard_0004,personal_application_standard,personal_application,,,school_002_國立暨南國際大學,2,國立暨南國際大學,公共行政與政策學系,公共行政與政策學系,Department of Public Administration and Policy,draft_glossary_translation,False,False,16,附錄二之一 個人申請制招生校系名稱,
personal_application_standard_0005,personal_application_standard,personal_application,,,school_002_國立暨南國際大學,2,國立暨南國際大學,歷史學系,歷史學系,Department of History,draft_glossary_translation,False,False,16,附錄二之一 個人申請制招生校系名稱,
personal_application_standard_0006,personal_application_standard,personal_application,,,school_002_國立暨南國際大學,2,國立暨南國際大學,國際文教與比較教育學系,國際文教與比較教育學系,Department of International Culture and Education and Comparative Education,draft_glossary_translation,False,False,16,附錄二之一 個人申請制招生校系名稱,
personal_application_standard_0007,personal_application_standard,personal_application,,,school_002_國立暨南國際大學,2,國立暨南國際大學,教育政策與行政學系,教育政策與行政學系,Department of Education Policy and Administration,draft_glossary_translation,False,False,16,附錄二之一 個人申請制招生校系名稱,
personal_application_standard_0008,personal_application_standard,personal_application,,,school_002_國立暨南國際大學,2,國立暨南國際大學,經濟學系,經濟學系,Department of Economics,draft_glossary_translation,False,False,16,附錄二之一 個人申請制招生校系名稱,
personal_application_standard_0009,personal_application_standard,personal_application,,,school_002_國立暨南國際大學,2,國立暨南國際大學,國際企業學系,國際企業學系,Department of International Business,draft_glossary_translation,False,False,16,附錄二之一 個人申請制招生校系名稱,
personal_application_standard_0010,personal_application_standard,personal_application,,,school_002_國立暨南國際大學,2,國立暨南國際大學,資訊管理學系(重點產業系所),資訊管理學系,Department of Information Management,draft_glossary_translation,True,False,16,附錄二之一 個人申請制招生校系名稱,
personal_application_standard_0011,personal_application_standard,personal_application,,,school_002_國立暨南國際大學,2,國立暨南國際大學,財務金融學系,財務金融學系,Department of Finance,draft_glossary_translation,False,False,16,附錄二之一 個人申請制招生校系名稱,
personal_application_standard_0012,personal_application_standard,personal_application,,,school_002_國立暨南國際大學,2,國立暨南國際大學,觀光休閒與餐旅管理學系觀光休閒組,觀光休閒與餐旅管理學系觀光休閒組,"Department of Tourism Leisure Leisure and Hospitality Management, Tourism Leisure Leisure Group",draft_glossary_translation,False,False,16,附錄二之一 個人申請制招生校系名稱,
personal_application_standard_0013,personal_application_standard,personal_application,,,school_002_國立暨南國際大學,2,國立暨南國際大學,觀光休閒與餐旅管理學系餐旅管理組,觀光休閒與餐旅管理學系餐旅管理組,"Department of Tourism Leisure Leisure and Hospitality Management, Hospitality Management Group",draft_glossary_translation,False,False,16,附錄二之一 個人申請制招生校系名稱,
personal_application_standard_0014,personal_application_standard,personal_application,,,school_002_國立暨南國際大學,2,國立暨南國際大學,諮商心理與人力資源發展學系諮商心理組,諮商心理與人力資源發展學系諮商心理組,"Department of Counseling Psychology and Human Resource Development, Counseling Psychology Group",draft_glossary_translation,False,False,16,附錄二之一 個人申請制招生校系名稱,
personal_application_standard_0015,personal_application_standard,personal_application,,,school_002_國立暨南國際大學,2,國立暨南國際大學,諮商心理與人力資源發展學系終身學習與人力資源發展組,諮商心理與人力資源發展學系終身學習與人力資源發展組,"Department of Counseling Psychology and Human Resource Development, Lifelong Learning and Human Resource Development Group",draft_glossary_translation,False,False,16,附錄二之一 個人申請制招生校系名稱,
personal_application_standard_0016,personal_application_standard,personal_application,,,school_002_國立暨南國際大學,2,國立暨南國際大學,東南亞學系,東南亞學系,Department of Southeast Asian Studies,draft_glossary_translation,False,False,16,附錄二之一 個人申請制招生校系名稱,
personal_application_standard_0017,personal_application_standard,personal_application,,,school_002_國立暨南國際大學,2,國立暨南國際大學,管理學院學士班,管理學院學士班,Bachelor Program in College of Management,draft_glossary_translation,False,False,16,附錄二之一 個人申請制招生校系名稱,
personal_application_standard_0018,personal_application_standard,personal_application,,,school_002_國立暨南國際大學,2,國立暨南國際大學,教育學院學士班,教育學院學士班,Bachelor Program in College of Education,draft_glossary_translation,False,False,16,附錄二之一 個人申請制招生校系名稱,
personal_application_standard_0019,personal_application_standard,personal_application,,,school_002_國立暨南國際大學,2,國立暨南國際大學,資訊工程學系(重點產業系所),資訊工程學系,Department of Computer Science and Information Engineering,draft_glossary_translation,True,False,16,附錄二之一 個人申請制招生校系名稱,
personal_application_standard_0020,personal_application_standard,personal_application,,,school_002_國立暨南國際大學,2,國立暨南國際大學,土木工程學系(重點產業系所),土木工程學系,Department of Civil Engineering,draft_glossary_translation,True,False,16,附錄二之一 個人申請制招生校系名稱,
personal_application_standard_0021,personal_application_standard,personal_application,,,school_002_國立暨南國際大學,2,國立暨南國際大學,電機工程學系(重點產業系所),電機工程學系,Department of Electrical Engineering,draft_glossary_translation,True,False,16,附錄二之一 個人申請制招生校系名稱,
personal_application_standard_0022,personal_application_standard,personal_application,,,school_002_國立暨南國際大學,2,國立暨南國際大學,應用化學系(重點產業系所),應用化學系,Department of Applied Chemistry,draft_glossary_translation,True,False,16,附錄二之一 個人申請制招生校系名稱,
