source_id,id,name_zh,phone,address_raw,postal_code,city_or_county,district,region,website,school_category
1,school_001_國立臺灣大學,國立臺灣大學,886-2-33662007#271,106319 臺北市羅斯福路4 段1 號,106319,臺北市,,north,https://www.ntu.edu.tw/,public;general_or_specialized_university
2,school_002_國立暨南國際大學,國立暨南國際大學,886-49-2918305,545301 南投縣埔里鎮大學路1 號,545301,南投縣,埔里鎮,central,https://www.ncnu.edu.tw/,public;general_or_specialized_university
3,school_003_國立臺灣師範大學,國立臺灣師範大學,886-2-7749-1283,106209 臺北市和平東路1 段162 號,106209,臺北市,,north,https://www.ntnu.edu.tw/,public;general_or_specialized_university;education
4,school_004_國立陽明交通大學,國立陽明交通大學,886-3-5712121#50135,300093 新竹市大學路1001 號(交大校區)； 112304 台北市北投區立農街二段155 號(陽明 校區),300093,新竹市,,north,https://www.nycu.edu.tw,public;general_or_specialized_university
5,school_005_國立清華大學,國立清華大學,886-3-5712861,300044 新竹市光復路2 段101 號,300044,新竹市,,north,https://www.nthu.edu.tw/,public;general_or_specialized_university
6,school_006_國立成功大學,國立成功大學,886-6-2757575#50993,701401 臺南市大學路1 號,701401,臺南市,,south,https://web.ncku.edu.tw/index.php?Lang=zh-tw,public;general_or_specialized_university
7,school_007_國立政治大學,國立政治大學,886-2-29393091# 62887,116011 臺北市文山區指南路二段64 號,116011,臺北市,文山區,north,https://www.nccu.edu.tw/,public;general_or_specialized_university
8,school_008_國立臺灣海洋大學,國立臺灣海洋大學,886-2-24622192#1068,202301 基隆市中正區北寧路2 號,202301,基隆市,中正區,north,https://www.ntou.edu.tw,public;general_or_specialized_university
9,school_009_國立臺北大學,國立臺北大學,886-2-86741111#66122,237303 新北市三峽區大學路151 號,237303,新北市,三峽區,north,https://new.ntpu.edu.tw/,public;general_or_specialized_university
10,school_010_國立中興大學,國立中興大學,886-4-22840216#16,402202 臺中市南區興大路145 號,402202,臺中市,南區,central,https://www.nchu.edu.tw/,public;general_or_specialized_university
11,school_011_國立中正大學,國立中正大學,886-5-2720411#11101,621301 嘉義縣民雄鄉大學路168 號,621301,嘉義縣,民雄鄉,south,https://www.ccu.edu.tw,public;general_or_specialized_university
12,school_012_國立中央大學,國立中央大學,886-3-4227151#57146,320317 桃園市中壢區中大路300 號,320317,桃園市,中壢區,north,https://www.ncu.edu.tw,public;general_or_specialized_university
13,school_013_國立中山大學,國立中山大學,886-7-5252000#2148,804201 高雄市鼓山區蓮海路70 號,804201,高雄市,鼓山區,south,http://www.nsysu.edu.tw,public;general_or_specialized_university
14,school_014_國立東華大學,國立東華大學,886-3-8905114,974301 花蓮縣壽豐鄉大學路二段一號,974301,花蓮縣,壽豐鄉,east,http://www.ndhu.edu.tw,public;general_or_specialized_university
15,school_015_國立嘉義大學,國立嘉義大學,886-5-2717296,600355 嘉義市學府路300 號,600355,嘉義市,,south,https://www.ncyu.edu.tw/,public;general_or_specialized_university
16,school_016_國立彰化師範大學,國立彰化師範大學,886-4-7232105#5116,500207 彰化縣彰化市進德路1 號,500207,彰化縣彰化市,,,http://www.ncue.edu.tw,public;general_or_specialized_university;education
17,school_017_國立高雄師範大學,國立高雄師範大學,886-7-7172930#3959,802311 高雄市苓雅區和平一路116 號,802311,高雄市,苓雅區,south,http://www.nknu.edu.tw,public;general_or_specialized_university;education
18,school_018_國立金門大學,國立金門大學,886-82-313734,892009 金門縣金寧鄉大學路1 號,892009,金門縣,金寧鄉,islands,https://www.nqu.edu.tw/,public;general_or_specialized_university
19,school_019_國立宜蘭大學,國立宜蘭大學,886-3-9357400#7073,260007 宜蘭市神農路1 段1 號,260007,宜蘭市,,,http://www.niu.edu.tw,public;general_or_specialized_university
